,store,sido-gu,address,phone
0,일산장항점,경기 고양시 일산동구,중앙로1275번길 56 1~2층,031-903-9991
1,덕성여대점,서울 강북구,"우이동 71-31, 1~3층",02-6093-0011
2,부천심곡점,경기 부천시 소사구,경기도 부천시 장말로 376 심곡동 355-1,032-612-7258
3,성남터미널점,경기 성남시 분당구,"경기도 성남시 분당구 성남대로925번길 16, 성남종합버스터미널 1층",031-725-1004
4,부산백양대로점,부산 사상구,괘법동 141,051-311-5399
5,왕십리역점,서울 성동구,"성동구 왕십리광장로 17 (행당동 168-151 ), 비트플렉스몰 3층",02-2200-1303
6,홍대출판사거리점,서울 마포구,"서울시 마포구 독막로7길 40, 1층",02-332-3567
7,간석오거리점,인천 남동구,,032-425-0915
8,위례중앙점,경기 성남시 수정구,,031-755-5064
9,수유사거리점,서울 강북구,서울시 강북구 도봉로 82길 11 (2~4층),070-5226-1999
10,하남덕풍점,경기 하남시,덕풍북로 2,031-792-9389
11,전경련회관점,서울 영등포구,서울시 영등포구 여의도동 28-1 전경련신축회관 B109-11,02-786-3485
12,대전만년점,대전 서구,"대전 서구 둔산대로117번길 95(만년동, 리더스타운)",
13,대전탄방점,대전 서구,대전 서구 계룡로571번길 23-19,042-482-8425
14,신월사거리점,서울 양천구,"가로공원로 113, 1층",02-2606-5040
15,양산부산대병원치과동점,경남 양산시,물금읍 금오로 20 양산부산대학교병원 치과병동 1층,070-4442-0608
16,양산부산대병원본점,경남 양산시,"물금읍 금오로 20, 양산부산대학교병원 중앙진료동 1층",055-362-4582
17,대전역점,대전 동구,"대전 동구 중앙로 215, 3층 대합실",
18,화성융건릉점,경기 화성시,경기도 화성시 효행로 501-3,031-224-6999
19,커피클럽 선릉역점,서울 강남구,서울특별시 강남구 테헤란로 325 1층,02-6196-7935
20,(하)선산휴게소점,경북 구미시,경상북도 구미시 옥성면 중부내륙고속도로 128,
21,진해속천점,경남 창원시 진해구,경남 창원시 진해구 태평로 132,055-547-9777
22,천안신부점,충남 천안시 동남구,"충남 천안시 동남구 만남로 26 대영빌딩 4,5층",041-566-5085
23,양주옥정점,경기 양주시,경기도 양주시 옥정동 963-6,
24,서초마제스타시티점,서울 서초구,"서초대로38길 12, 1층",02-6411-0063
25,부산명륜역점,부산 동래구,"부산광역시 동래구 온천장로5, 1층",051-557-7811
26,대전은행본점,대전 중구,대전 중구 대흥동 153-1,042-222-3288
27,구리수택점,경기 구리시,"경기도 구리시 검배로 73, 할리스커피",031-551-0988
28,진주평거점,경남 진주시,경상남도 진주시 진양호로 46,055-745-9633
29,할리스커피 울산시청점,울산 남구,"삼산로 60, 1층(신정동)",070-7733-7108
30,부산대학교병원1호점,부산 서구,"부산광역시 서구 구덕로 179, 융합동 ",051-231-9647
31,종로5가점,서울 종로구,동호로 401,02-2266-1989
32,서전주DT점,전북 전주시 완산구,전북 전주시 완산구 콩쥐팥쥐로 1713,063-901-0802
33,아주대병원점,경기 수원시 영통구,"경기도 수원시 영통구 월드컵로 164, 아주대학교병원 본관 1층",031-211-5718
34,부산대학교병원2호점,부산 서구,부산광역시 서구 구덕로 179  C동,051-231-9476
35,난곡사거리점,서울 관악구,서울시 관악구 신림동 526-13,02-865-0012
36,부산덕천점,부산 북구,"부산 북구 덕천 1길 21, 1층",051-342-8835
37,다산지금점,경기 남양주시,경기도 남양주시 다산중앙로 82번안길 143-15,070-7778-2409
