,0,1,2,3
0,201701,미  국,275,57212
1,201702,미  국,275,52732
2,201703,미  국,275,72477
3,201704,미  국,275,83485
4,201705,미  국,275,76347
5,201706,미  국,275,85955
6,201707,미  국,275,82472
7,201708,미  국,275,71496
8,201709,미  국,275,70933
9,201710,미  국,275,80000
10,201711,미  국,275,69009
11,201712,미  국,275,66763
12,201801,미  국,275,59895
13,201802,미  국,275,66049
14,201803,미  국,275,80079
15,201804,미  국,275,89209
16,201805,미  국,275,84601
17,201806,미  국,275,94742
18,201807,미  국,275,90270
19,201808,미  국,275,77319
20,201809,미  국,275,78826
21,201810,미  국,275,98103
22,201811,미  국,275,77876
23,201812,미  국,275,71023
